MCC_OBN_ID,MCC_TIPO_MOVIMIENTO,MCC_IMPORTE,MCC_FECHA_BAJA,MCC_TIPO_ORIGEN,MCC_CCC_ID,MCC_FECHA_MOVIMIENTO,OBN_PERIODO,OBN_CUOTA,OBN_TIPO_OBJETO_ID,OBN_OBJETO_ID,FECHA_PAGO,FECHA_PROCESO,OBJETO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017031068,C,21,01/01/1900,SEL,010,17/09/2014,2014,20,A,2789528,01/01/1900,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017880233,D,0.02,01/01/1900,PAO,030,11/04/2014,2014,10,A,8280920,11/04/2014,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017262878,D,66.31,01/01/1900,PAO,130,12/11/2015,2014,20,A,4928087,12/11/2015,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000021722038,C,19.02,01/01/1900,MAJ,507,17/09/2014,2014,20,A,8505200,24/06/2014,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000016110860,D,21.84,01/01/1900,NULO,600,14/05/2014,2014,0,A,7029754,01/01/1900,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017683236,D,371.7,01/01/1900,NULO,600,14/05/2014,2014,10,A,8274872,01/01/1900,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017880233,D,1989.72,01/01/1900,NULO,600,14/05/2014,2014,10,A,8280920,11/04/2014,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000018676823,D,35.24,01/01/1900,NULO,600,14/05/2014,2014,10,A,8424899,17/01/2014,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000016286833,D,29.4,01/01/1900,NULO,600,17/09/2014,2014,20,A,7788247,01/01/1900,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000016633320,D,378,01/01/1900,NULO,600,17/09/2014,2014,20,A,7778202,05/09/2014,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017031068,D,21,01/01/1900,NULO,600,17/09/2014,2014,20,A,2789528,01/01/1900,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017262878,D,525,01/01/1900,NULO,600,17/09/2014,2014,20,A,4928087,12/11/2015,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017680786,D,357,01/01/1900,NULO,600,17/09/2014,2014,20,A,8278270,01/01/1900,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000021722038,D,624.52,01/01/1900,NULO,600,17/09/2014,2014,20,A,8505200,24/06/2014,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873183812,D,10.32,01/01/1900,NULO,600,19/11/2014,2014,50,A,7482408,01/01/1900,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873322762,D,337.5,01/01/1900,NULO,600,19/11/2014,2014,50,A,5224472,01/01/1900,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873213171,D,5.52,01/01/1900,NULO,600,19/11/2014,2014,50,A,8905204,01/01/1900,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873282827,D,32.4,01/01/1900,NULO,600,19/11/2014,2014,50,A,8204540,01/01/1900,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873183812,C,10.32,01/01/1900,ODT,650,19/11/2014,2014,50,A,7482408,01/01/1900,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873282827,C,32.4,01/01/1900,ODT,650,19/11/2014,2014,50,A,8204540,01/01/1900,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017880233,C,1943.4,01/01/1900,PAO,701,11/04/2014,2014,10,A,8280920,11/04/2014,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000016633320,C,378,01/01/1900,PAO,701,05/09/2014,2014,20,A,7778202,05/09/2014,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000018676823,C,38.55,01/01/1900,PAO,901,17/01/2014,2014,10,A,8424899,17/01/2014,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000021722038,C,605.5,01/01/1900,PAO,901,24/06/2014,2014,20,A,8505200,24/06/2014,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
